firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
6369fd6cbd404b8892a425b75bf5ba2f,GOO1,Leverage Shares,2024-12-06,Equities (Stocks)
6393b085fa5c4f66b2a4c490b6ae07cd,UC63,UBS,2024-10-31,Equities (Stocks)
63e01da776684402ba00b39ee730ffc3,HIES,HSBC,2024-12-11,Equities (Stocks)
643e4588c5594c3585b3413ae65b6aa9,VDEV,Vanguard,2024-07-31,Equities (Stocks)
64806ae8f8a845fc8583034e003810ef,2STS,Leverage Shares,2024-12-06,Equities (Stocks)
64a44d2a737e4f57b9b7093d83e4719f,UB69,UBS,2024-10-31,Equities (Stocks)
64a46adc16f042b3ac15fa217969402b,HPAX,HSBC,2024-12-11,Equities (Stocks)
64ad8873ba6642e19b20069226b801aa,3SSL,Leverage Shares,2024-12-06,Commodities & Metals
651bc011d30e4daa8f5bd4cbd5e5d08b,HNCS,HSBC,2024-12-11,Equities (Stocks)
65298792c890401b92678fd4f1eaf70c,S3CO,Leverage Shares,2024-12-06,Equities (Stocks)
6557e9f43b1841fc994db8fef2cf16d2,MXUD,Invesco,2024-12-06,Equities (Stocks)
65645a5745c84ec7923a20b6c62e31c4,HMEM,HSBC,2024-12-11,Equities (Stocks)
656b11469dfc4b81ad92b9031c665992,SJPN,Leverage Shares,2024-12-06,Equities (Stocks)
65959f1161924db3b03ce295aa136cfd,3NIO,Leverage Shares,2024-12-06,Equities (Stocks)
65a87a38b6bf4659aa9cbefd7db3c343,3SLV,Leverage Shares,2024-12-06,Commodities & Metals
65b40e4e806a450ca34e29b98f506813,3CHE,Leverage Shares,2024-12-06,Equities (Stocks)
66673c92f9004b46be33ebc6b8747316,1TSL,Leverage Shares,2024-12-06,Equities (Stocks)
66c1ee41f21c46e48f2b3aa1c1488dd1,3SUS,Leverage Shares,2024-12-06,Equities (Stocks)
66d359e8e3e948c3a8e633a8a4d1b7fc,GS2,Leverage Shares,2024-12-06,Equities (Stocks)
6702cec0bee7458d9ef005efd753db18,WCBR,Wisdom Tree,2024-09-30,Equities (Stocks)
670b82d028c24d5f8524fb84418002b5,SBEM,UBS,2024-10-31,Bonds
673231f702764042802bda9aad9b4b30,3QQE,Leverage Shares,2024-12-06,Equities (Stocks)
600c70996a3c4c02ae23efe0c94eed33,V3ML,Vanguard,2024-07-31,Equities (Stocks)
625f468af0b34cd7973005d5bf66b85e,HMXJ,HSBC,2024-12-11,Equities (Stocks)
62b1daeca6354f69a8a6d45688fed668,SNV3,Leverage Shares,2024-12-06,Equities (Stocks)
633d8142611848228940f422bc1cb637,U15E,UBS,2024-10-31,Bonds
6381d5eba7d348e49f6c1ef72da180cb,VDTA,Vanguard,2024-07-31,Bonds
644fc9b5a23847ea8737b69996e88210,USTEC,UBS,2024-10-31,Equities (Stocks)
65396e26af7d4e94a6b471c258ac2ffb,SBIO,Invesco,2024-12-06,Equities (Stocks)
65af728be74d4250a65b37eacf8f27ff,TIP1E,UBS,2024-10-31,Bonds
65efa198f38f4372987d420e8ceef1bf,EUESRI,UBS,2024-10-31,Equities (Stocks)
5daebdcb9dc645a59417d03f6b376d5e,ETHC,21Shares,2024-11-27,Other Asset Types
5dc00968864b428ab52c68f062593b63,SPXD,Invesco,2024-12-06,Equities (Stocks)
5ddfbd4065f8419ab6b30fcc3de85dd4,DGSE,Wisdom Tree,2024-09-30,Equities (Stocks)
5df17a4b66274b79b7a807a2fdd6fd18,ACWIU,UBS,2024-10-31,Equities (Stocks)
5dfff0e8f2794c6f976e3259068d5cc7,ALTSCHF,21Shares,2024-11-27,Other Asset Types
5e6c6359e3284c4498e8795e9b752ff2,ASTX,21Shares,2024-11-27,Other Asset Types
5f335f173b8b475386b0c8cfaedcb77b,EQQS,Invesco,2024-12-06,Equities (Stocks)
60d9d125b8d44eff87688111aececac6,JPNA,UBS,2024-10-31,Equities (Stocks)
62249d20862c4c78b957c1568f234594,HMCT,HSBC,2024-12-11,Equities (Stocks)
622845473e0843ce807c8533aef1081a,ESGEMD,UBS,2024-10-31,Bonds
626a416f58044c089fc4e656ab472f8e,DEM,Wisdom Tree,2024-09-30,Equities (Stocks)
63387a11b6d940d29ada37463f960901,COSIC,UBS,2024-10-31,Commodities & Metals
635284041bc541888f529be881ca85b3,ELOVD,UBS,2024-10-31,Equities (Stocks)
6452043052854fbeb58fa96451aeb818,JPGBPD,UBS,2024-10-31,Equities (Stocks)
6512ab968169432b9b9ac12a78f4327a,100GBA,UBS,2024-10-31,Equities (Stocks)
652cbf2b1370497b91c9378a159bf88c,CHEURD,UBS,2024-10-31,Equities (Stocks)
6565818c804341298e0458b4dd8bd77a,VCPA,Vanguard,2024-07-31,Bonds
656ee82530a948d4b5be3f421f36f1d0,5ESGG,UBS,2024-10-31,Equities (Stocks)
65c09f1ce0c94ef4b9eb5749dd544d9a,SW2CHA,UBS,2024-10-31,Equities (Stocks)
65d859570c5d4857a01fcf05f3bc46de,WCOA,Wisdom Tree,2024-09-30,Commodities & Metals
65e22942b5a74d9aa29b930924b66856,EPVLD,UBS,2024-10-31,Equities (Stocks)
65e8b86b331645a39b78dcac2b2ef47d,ULOVDF,UBS,2024-10-31,Equities (Stocks)
6628f119891e4a7497ccb33b46d1478c,USMUFS,UBS,2024-10-31,Equities (Stocks)
668e3e72aead4f549bacbe81226636f4,MXUS,Invesco,2024-12-06,Equities (Stocks)
66f63ecfa9e540d785fbca3bf5137918,CORPS,UBS,2024-10-31,Bonds
6746f771fa604d3da1f7263c11163d08,VUSC,Vanguard,2024-07-31,Bonds
5e4c03eb74ed40ec8fb70ef6bba15fd7,AWSR,UBS,2024-10-31,Equities (Stocks)
5f518f6b27d44b69a48b317ffb39b07b,SBIO,Invesco,2024-12-06,Equities (Stocks)
61fa581c806b4a978930509500d24932,COIB,Leverage Shares,2024-12-06,Equities (Stocks)
62c84da6484d489ba6938238d5363961,2TSL,Leverage Shares,2024-12-06,Equities (Stocks)
630686b013164b9d9df56517afc30055,VWCG,Vanguard,2024-07-31,Equities (Stocks)
6480076d680c4610af2d7d00e75923cc,UIM4,UBS,2024-10-31,Equities (Stocks)
64d4a8ee9143404ab61b9d9eb0afdaec,V3GE,Vanguard,2024-07-31,Bonds
659e3e7702374ecfb00c45241c2ab03f,BNBA,21Shares,2024-11-27,Other Asset Types
65a91f6ff52a496a8f4583987cfbb402,HKDE,UBS,2024-10-31,Equities (Stocks)
5ffe23a56e424eb594e9a7c99d8d5bb2,HODL,21Shares,2024-11-27,Other Asset Types
62cd7a6671dd4c9cbd6ae6e09bfa3bff,HWOE,HSBC,2024-12-11,Equities (Stocks)
63695cc92b0840ce8a5f00d7143e5c4a,GGRA,Wisdom Tree,2024-09-30,Equities (Stocks)
66104f6a7e764132b6f14c34c4777626,HCAS,HSBC,2024-12-11,Equities (Stocks)
5ec78de2caaa4b1eb2cf6a2c446677eb,SLGOMXH25,Seligson,2024-12-05,Equities (Stocks)
674dc6423ef14c8d85a22d806c0332fd,V60D,Vanguard,2024-09-30,Target Date / Multi-Asset
677cf276d6114af3853475917cfea412,3AKE,Leverage Shares,2024-12-06,Equities (Stocks)
678015ce3c9f43109ec36ce030420549,5SPE,Leverage Shares,2024-12-06,Equities (Stocks)
6794a82df7db4b3c8dfd25cb1c0ef64c,WTD8,Wisdom Tree,2024-09-30,Equities (Stocks)
67b5b543f2ec4e0196079d6ccb41b9cb,3MSE,Leverage Shares,2024-12-06,Equities (Stocks)
67bb1c49017341faa6e8d3382accb303,SC0R,Invesco,2024-12-06,Equities (Stocks)
6818dead457743eca2915079b2561bef,NVI3,Leverage Shares,2024-12-06,Equities (Stocks)
6852da89865e424b98a5c96cb80eb274,UFMB,UBS,2024-10-31,Equities (Stocks)
68b93c0c14cb4486af53c6a24106c7b5,UBUJ,UBS,2024-10-31,Equities (Stocks)
